1,100000,5000,1500,800,0,0
2,100005,5144,2300,805,0,0
3,100010,5288,3100,810,805,0
4,100015,5432,3900,815,810,0
5,100020,5576,4700,820,815,0
6,100025,5720,5500,825,820,0
7,100030,5864,6300,830,0,0
8,100035,6008,7100,835,830,0
9,100040,6152,7900,840,835,0
10,100045,6296,8700,845,0,0
11,100050,6440,9500,0,845,0
12,100055,6584,10300,0,850,0
13,100060,6728,11100,860,855,0
14,100065,6872,11900,865,860,0
15,100070,7016,12700,870,865,0
16,100075,7160,13500,0,870,0
17,100080,7304,14300,0,875,0
18,100085,7448,15100,885,0,0
19,100090,7592,15900,890,885,0
20,100095,7736,16700,0,890,0
21,100100,7880,17500,900,0,0
22,100105,8024,18300,0,900,0
23,100110,8168,19100,0,905,0
24,100000,2,17000,0,910,0
